Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"	"TAU score - Tissue"	"TAU score - Blood"	"TAU score - Brain"	"TAU score - Single Cell Type"	"TAU score - Single nuclei brain"	"Tissue RNA - endometrium 1 [nTPM]"
NFKB2	"LYT-10, NF-kB2, p105, p49/p100, p52"	ENSG00000077150	"Nuclear factor kappa B subunit 2"	Q00653	10	102394110-102402524	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.09e-2)"	0.31	0.72	0.12	0.50	0.76	20.8
NFKBIA	"IkappaBalpha, IKBA, MAD-3, NFKBI"	ENSG00000100906	"NFKB inhibitor alpha"	P25963	14	35401079-35404749	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Host-virus interaction"		"Cancer-related genes, Disease variant, Ectodermal dysplasia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.63e-1)"	0.31	0.20	0.09	0.35	0.54	92.3
NFKBIB	"IKBB, TRIP9"	ENSG00000104825	"NFKB inhibitor beta"	Q15653	19	38899700-38908893	"Predicted intracellular proteins, Transcription factors"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.22e-1)"	0.50	0.39	0.10	0.58	0.29	10.2
NFKBID	"IkappaBNS, IkBNS, TA-NFKBH"	ENSG00000167604	"NFKB inhibitor delta"	Q8NI38	19	35887653-35902303	"Predicted intracellular proteins, Transcription factors"	"Inflammatory response"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"		0.64	0.56	0.25	0.65	0.49	1.8
NFKBIE	IKBE	ENSG00000146232	"NFKB inhibitor epsilon"	O00221	6	44258166-44265788	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.59e-2)"	0.43	0.39	0.14	0.55	0.58	3.6
NFKBIL1	"IKBL, NFKBIL"	ENSG00000204498	"NFKB inhibitor like 1"	Q9UBC1	6	31546870-31558829	"Human disease related genes, Predicted intracellular proteins, Transcription factors"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.08e-1)"	0.40	"Not detected"	0.34	0.29	0.17	20.4
NFKBIZ	"FLJ34463, INAP, MAIL"	ENSG00000144802	"NFKB inhibitor zeta"	Q9BYH8	3	101827991-101861022	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.63e-1)"	0.49	0.56	0.28	0.45	0.29	35.2
NFRKB	"DKFZp547B2013, INO80G"	ENSG00000170322	"Nuclear factor related to kappaB binding protein"	Q6P4R8	11	129863636-129895590	"Predicted intracellular proteins"	"DNA damage, DNA recombination, DNA repair, Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.76e-2)"	0.18	0.14	0.09	0.37	0.16	14.3
NFS1	"IscS, NifS"	ENSG00000244005	"NFS1 cysteine desulfurase"	Q9Y697	20	35668052-35699355	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Molybdenum cofactor biosynthesis"	Transferase	"Disease variant, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.99e-1)"	0.29	0.19	0.03	0.37	0.17	8.8
NFU1	"CGI-33, HIRIP5, NifU, NIFUC"	ENSG00000169599	"NFU1 iron-sulfur cluster scaffold"	Q9UMS0	2	69396113-69437628	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.61e-1)"	0.24	0.15	0.04	0.27	0.10	34.7
NFX1	"MGC20369, NFX2, TEG-42, Tex42"	ENSG00000086102	"Nuclear transcription factor, X-box binding 1"	Q12986	9	33290512-33371157	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Host-virus interaction, Transcription, Transcription regulation, Ubl conjugation pathway"	"Activator, DNA-binding, Repressor, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.42e-2)"	0.20	0.36	0.06	0.25	0.11	16.8
NFXL1	HOZFP	ENSG00000170448	"Nuclear transcription factor, X-box binding like 1"	Q6ZNB6	4	47847233-47914667	"Predicted membrane proteins, Transcription factors"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.29e-1)"	0.39	0.51	0.17	0.45	0.10	5.2
NFYA	"CBF-B, HAP2, NF-YA"	ENSG00000001167	"Nuclear transcription factor Y subunit alpha"	P23511	6	41072974-41102403	"Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.31e-1)"	0.30	0.21	0.12	0.50	0.29	13.3
NFYB	"CBF-A, HAP3, NF-YB"	ENSG00000120837	"Nuclear transcription factor Y subunit beta"	P25208	12	104117086-104138241	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.70e-2)"	0.22	0.18	0.08	0.45	0.17	29.5
NFYC	"CBF-C, NF-YC"	ENSG00000066136	"Nuclear transcription factor Y subunit gamma"	Q13952	1	40691648-40771603	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.11e-2)"	0.18	0.17	0.06	0.37	0.21	31.3
NGDN	"C14orf120, CANu1, DKFZP564O092, LCP5, lpd-2, NGD"	ENSG00000129460	Neuroguidin	Q8NEJ9	14	23469679-23509862	"Predicted intracellular proteins"	"Translation regulation"	Repressor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.92e-2)"	0.16	0.10	0.12	0.31	0.18	32.1
NGEF	ARHGEF27	ENSG00000066248	"Neuronal guanine nucleotide exchange factor"	Q8N5V2	2	232878701-233013256	"Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.84e-2)"	0.68	"Not detected"	0.36	0.79	0.50	4.9
NGF	NGFB	ENSG00000134259	"Nerve growth factor"	P01138	1	115285904-115338770	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins"		"Growth factor, Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor"	"Cancer-related genes, Disease variant, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"		0.58	"Not detected"	0.29	0.86	0.69	8.5
NGFR	"CD271, p75NTR, TNFRSF16"	ENSG00000064300	"Nerve growth factor receptor"	P08138	17	49495293-49515008	"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters"	"Apoptosis, Biological rhythms, Differentiation, Neurogenesis"	"Developmental protein, Receptor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.29e-2)"	0.37	0.95	0.41	0.81	0.86	11.6
NGLY1	"FLJ11005, PNG-1, PNG1"	ENSG00000151092	"N-glycanase 1"	Q96IV0	3	25718944-25790039	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.47e-1)"	0.32	0.22	0.09	0.52	0.13	9.4
NGRN	DSC92	ENSG00000182768	"Neugrin, neurite outgrowth associated"	Q9NPE2	15	90265659-90275778	"Predicted intracellular proteins"	Differentiation	"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.32e-1)"	0.31	0.10	0.05	0.52	0.29	61.5
NHEJ1	"Cernunnos, FLJ12610, XLF"	ENSG00000187736	"Non-homologous end joining factor 1"	Q9H9Q4	2	219069355-219160869	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"DNA damage, DNA repair"	DNA-binding	"Disease variant, SCID"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.54e-1)"	0.30	0.20	0.12	0.58	0.47	8.5
NHLRC2	"DKFZp779F115, FLJ20147, FLJ25621, FLJ33312, MGC45492"	ENSG00000196865	"NHL repeat containing 2"	Q8NBF2	10	113854661-113917194	"Disease related genes, Predicted intracellular proteins"			"Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.86e-2)"	0.31	"Not detected"	0.10	0.38	0.19	6.0
NHLRC3		ENSG00000188811	"NHL repeat containing 3"	Q5JS37	13	39038306-39050109	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (1.63e-1)"	0.21	0.26	0.09	0.33	0.22	13.1
NHLRC4		ENSG00000257108	"NHL repeat containing 4"	P0CG21	16	567005-569495	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.38e-1)"	0.66	0.77	0.46	0.86	"Not detected"	1.0
NHP2	"FLJ20479, NOLA2"	ENSG00000145912	"NHP2 ribonucleoprotein"	Q9NX24	5	178149463-178153894	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins"	"Ribosome biogenesis, rRNA processing"	"Ribonucleoprotein, RNA-binding"	"Disease variant, Dyskeratosis congenita"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.68e-2)"	0.15	0.17	0.03	0.23	0.20	95.0
NHS		ENSG00000188158	"NHS actin remodeling regulator"	Q6T4R5	X	17375200-17735994	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			Cataract	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.59e-2)"	0.45	0.91	0.19	0.74	0.32	4.5
NHSL1	"bA43P8.1, C6orf63, KIAA1357"	ENSG00000135540	"NHS like 1"	Q5SYE7	6	138422043-138692571	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.27e-2)"	0.56	0.79	0.04	0.66	0.56	1.1
NHSL2		ENSG00000204131	"NHS like 2"	Q5HYW2	X	71910845-72161750	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.45e-2)"	0.53	0.64	0.19	0.67	0.44	3.1
NIBAN1	"C1orf24, FAM129A, GIG39, NIBAN"	ENSG00000135842	"Niban apoptosis regulator 1"	Q9BZQ8	1	184790724-184974508	"Cancer-related genes, Predicted intracellular proteins"	"Stress response, Translation regulation"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.55e-1)"	0.45	0.66	0.26	0.69	0.70	23.4
NIBAN2	"bA356B19.6, C9orf88, DKFZP434H0820, FAM129B, FLJ13518, FLJ22151, FLJ22298, MINERVA"	ENSG00000136830	"Niban apoptosis regulator 2"	Q96TA1	9	127505339-127578989	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.50e-2)"	0.41	0.84	0.14	0.49	0.59	37.6
NICN1	MGC12936	ENSG00000145029	"Nicolin 1, tubulin polyglutamylase complex subunit"	Q9BSH3	3	49422333-49429326	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.25e-1)"	0.32	0.24	0.10	0.92	0.25	10.2
NID1	"entactin, NID"	ENSG00000116962	"Nidogen 1"	P14543	1	235975830-236065109	"Plasma proteins, Predicted secreted proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.30e-2)"	0.36	0.83	0.22	0.71	0.72	84.7
NID2		ENSG00000087303	"Nidogen 2"	Q14112	14	52004809-52069059	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.83e-2)"	0.51	"Not detected"	0.67	0.73	0.74	16.8
NIF3L1	"ALS2CR1, CALS-7, MDS015"	ENSG00000196290	"NGG1 interacting factor 3 like 1"	Q9GZT8	2	200889327-200903938	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.81e-2)"	0.15	0.21	0.07	0.39	0.18	15.4
NIFK	"hNIFK, MKI67IP, Nopp34"	ENSG00000155438	"Nucleolar protein interacting with the FHA domain of MKI67"	Q9BYG3	2	121726945-121736911	"Predicted intracellular proteins"		RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.25e-1)"	0.16	0.09	0.07	0.24	0.12	27.6
NIN		ENSG00000100503	Ninein	Q8N4C6	14	50719763-50831162	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Cancer-related genes, Disease variant, Dwarfism, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.84e-1)"	0.41	0.54	0.11	0.45	0.18	7.2
NINJ1	NIN1	ENSG00000131669	"Ninjurin 1"	Q92982	9	93121496-93134251	"Predicted membrane proteins"	"Angiogenesis, Cell adhesion, Cytolysis, Inflammatory response"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.00e-2)"	0.30	0.41	0.07	0.47	0.56	35.3
NINJ2		ENSG00000171840	"Ninjurin 2"	Q9NZG7	12	564296-663589	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.73e-1)"	0.48	0.34	0.24	0.70	0.70	4.2
NINL	"KIAA0980, NLP"	ENSG00000101004	"Ninein like"	Q9Y2I6	20	25451594-25585531	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.40e-2)"	0.42	"Not detected"	0.24	0.61	0.27	6.4
NIP7	"CGI-37, FLJ10296, HSPC031, KD93"	ENSG00000132603	"Nucleolar pre-rRNA processing protein NIP7"	Q9Y221	16	69337996-69343106	"Predicted intracellular proteins"	"Ribosome biogenesis"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.51e-2)"	0.24	0.14	0.13	0.26	0.19	11.0
NIPA1	"MGC35570, SLC57A1, SPG6"	ENSG00000170113	"NIPA magnesium transporter 1"	Q7RTP0	15	22773063-22829789	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"		"Disease variant, Hereditary spastic paraplegia, Neurodegeneration"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.97e-1)"	0.60	0.76	0.07	0.55	0.20	2.2
NIPA2	SLC57A2	ENSG00000140157	"NIPA magnesium transporter 2"	Q8N8Q9	15	22838644-22869362	"Predicted membrane proteins, Transporters"	"Ion transport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (3.52e-1)"	0.16	0.12	0.08	0.30	0.24	20.4
NIPAL2	"FLJ13955, NPAL2, SLC57A4"	ENSG00000104361	"NIPA like domain containing 2"	Q9H841	8	98189826-98294393	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (1.46e-2)"	0.35	0.52	0.27	0.55	0.25	14.0
NIPAL3	"DJ462O23.2, NPAL3, SLC57A5"	ENSG00000001461	"NIPA like domain containing 3"	Q6P499	1	24415802-24472976	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.21e-2)"	0.41	0.28	0.09	0.49	0.32	6.0
NIPAL4	"ICHYN, SLC57A6"	ENSG00000172548	"NIPA like domain containing 4"	Q0D2K0	5	157460213-157474722	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	Receptor	"Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"		0.79	0.96	0.31	0.92	0.91	1.2
